month,subject,date,ni_file,n_ref_onsets,n_target_onsets,n_matched_onsets,mean_diff,std_diff,mean_abs_diff,median_diff,median_abs_diff,min_diff,max_diff,name,Q1,Q2,datetime
5月,4,20250507,1_20250507_140312_ni.txt,127.0,237.0,237.0,0.0893751054852325,0.1951497064964855,0.1225042194092829,0.0620999999999973,0.1025000000000062,-0.3360000000000003,1.7251000000000118,test2_5_7,35.0,66.0,2025-05-07 14:03:20
5月,4,20250507,2_20250507_141009_ni.txt,78.0,135.0,135.0,-0.3657177777777792,1.584202542225918,0.5434007407407409,0.0627999999999957,0.0904000000000024,-8.5503,1.282899999999998,test2_5_7,68.0,78.0,2025-05-07 14:10:18
5月,4,20250507,3_20250507_142554_ni.txt,112.0,205.0,205.0,0.0737253658536587,0.1055462157031523,0.0942756097560977,0.0667000000000044,0.0887000000000011,-0.3756999999999983,0.906099999999995,test2_5_7,77.0,71.0,2025-05-07 14:26:08
5月,4,20250507,4_20250507_143034_ni.txt,127.0,218.0,218.0,0.0804623853211005,0.151324785159221,0.089336697247706,0.0426000000000001,0.043849999999999,-0.3839000000000006,1.3950999999999991,test2_5_7,63.0,70.0,2025-05-07 14:30:40
5月,4,20250507,5_20250507_143242_ni.txt,127.0,241.0,241.0,0.1303157676348544,0.3526017036418455,0.1386684647302901,0.0452999999999974,0.0463000000000022,-0.3434999999999988,2.904899999999998,test2_5_7,66.0,75.0,2025-05-07 14:32:47
5月,4,20250509,1_20250509_131208_ni.txt,127.0,172.0,172.0,0.0582034883720927,0.3228931852139318,0.1601848837209299,0.0051500000000004,0.1168499999999959,-0.3175000000000025,2.207899999999995,kitayama_0509,39.0,59.0,2025-05-09 13:12:28
5月,4,20250509,2_20250509_132214_ni.txt,79.0,198.0,198.0,-0.6442919191919183,2.1550992707068883,0.9030505050505048,0.1294500000000127,0.1943499999999964,-10.471699999999991,0.3335000000000008,kitayama_0509,39.0,67.0,2025-05-09 13:22:26
5月,4,20250509,3_20250509_133306_ni.txt,129.0,112.0,112.0,-0.8878196428571429,2.457738470257889,1.1314964285714286,0.1141499999999968,0.2221500000000027,-9.014400000000002,0.3267999999999986,kitayama_0509,26.0,70.0,2025-05-09 13:33:27
5月,4,20250509,4_20250509_133808_ni.txt,192.0,143.0,143.0,-0.3822328671328676,1.2166171298021995,0.4732314685314685,-0.0377000000000009,0.1389999999999958,-5.751999999999999,0.1938999999999993,kitayama_0509,29.0,74.0,2025-05-09 13:38:25
5月,4,20250509,5_20250509_135559_ni.txt,192.0,158.0,158.0,-0.3369075949367078,1.691011224260569,0.5463367088607597,-0.0292999999999992,0.1389000000000031,-15.978799999999998,1.9017000000000053,kitayama_0509,24.0,76.0,2025-05-09 13:56:09
5月,4,20250509,6_20250509_140707_ni.txt,153.0,200.0,200.0,0.0421439999999995,0.2368953031699863,0.1649139999999998,0.0851499999999987,0.1367000000000047,-0.206799999999987,1.5397999999999996,kitayama_0509,30.0,74.0,2025-05-09 14:07:15
5月,4,20250509,7_20250509_141337_ni.txt,153.0,194.0,194.0,0.0305092783505153,0.2095320805998697,0.1420350515463917,0.0545500000000007,0.1253499999999974,-0.2060999999999992,1.451900000000009,kitayama_0509,39.0,58.0,2025-05-09 14:13:54
5月,4,20250509,8_20250509_141548_ni.txt,153.0,209.0,209.0,-0.0634138755980857,0.1158754274548775,0.1163698564593299,-0.079699999999999,0.1049000000000006,-0.204500000000003,0.2058000000000035,kitayama_0509,34.0,64.0,2025-05-09 14:16:02
5月,4,20250509,9_20250509_141814_ni.txt,137.0,284.0,284.0,0.048897535211267,0.2590937403658024,0.1484292253521131,0.060899999999993,0.1100999999999992,-0.354300000000002,2.159499999999994,kitayama_0509,38.0,64.0,2025-05-09 14:18:28
5月,4,20250514,1_20250514_131806_ni.txt,127.0,272.0,272.0,0.1018680147058827,0.159950555224566,0.1179930147058826,0.080299999999994,0.1214499999999993,-0.3888999999999996,1.417900000000003,pm4_0514,41.0,73.0,2025-05-14 13:18:37
5月,4,20250514,2_20250514_132021_ni.txt,153.0,233.0,233.0,0.0600364806866952,0.1795580019134025,0.1349712446351931,0.069900000000004,0.1233000000000004,-0.206700000000005,1.294299999999993,pm4_0514,50.0,71.0,2025-05-14 13:20:36
5月,4,20250514,3_20250514_132656_ni.txt,153.0,261.0,261.0,0.0497314176245207,0.1132747871493804,0.1098877394636013,0.060100000000002,0.1204999999999998,-0.2005000000000016,0.2091999999999956,pm4_0514,47.0,72.0,2025-05-14 13:27:14
5月,4,20250514,4_20250514_133149_ni.txt,153.0,254.0,254.0,0.017144881889764,0.1338883288408264,0.1242362204724412,0.064449999999999,0.1171000000000006,-0.2066000000000016,0.2058999999999997,pm4_0514,57.0,67.0,2025-05-14 13:32:12
5月,4,20250514,5_20250514_134814_ni.txt,153.0,257.0,257.0,0.0406953307392995,0.1277418322165542,0.1223412451361865,0.0721000000000025,0.1111000000000004,-0.2080999999999946,0.2057000000000002,pm4_0514,50.0,66.0,2025-05-14 13:48:28
5月,4,20250514,6_20250514_135130_ni.txt,153.0,241.0,241.0,0.0706834024896264,0.1028683530769865,0.1101887966804976,0.0672999999999959,0.1038999999999958,-0.2094000000000022,0.2062999999999988,pm4_0514,55.0,69.0,2025-05-14 13:51:45
5月,4,20250514,7_20250514_135310_ni.txt,127.0,302.0,302.0,0.0788029801324502,0.1711267551133433,0.1182387417218543,0.0579500000000017,0.1182000000000051,-0.3330000000000002,1.4410000000000025,pm4_0514,58.0,71.0,2025-05-14 13:53:20
5月,4,20250516,1_20250516_131044_ni.txt,127.0,318.0,318.0,0.063975786163522,0.1732973193436002,0.1278902515723272,0.0525000000000019,0.1311000000000035,-0.2935999999999978,1.4095999999999975,nakamura_0516,61.0,74.0,2025-05-16 13:10:53
5月,4,20250516,2_20250516_131245_ni.txt,153.0,270.0,270.0,0.0409703703703699,0.1223628980769447,0.1083459259259258,0.0572999999999979,0.0936500000000037,-0.204900000000002,0.6329999999999956,nakamura_0516,50.0,76.0,2025-05-16 13:12:52
5月,4,20250516,3_20250516_131831_ni.txt,153.0,255.0,255.0,0.0489141176470587,0.118803718321299,0.1122090196078429,0.0598000000000027,0.0955000000000012,-0.2053000000000011,0.2062999999999988,nakamura_0516,58.0,78.0,2025-05-16 13:18:41
5月,4,20250516,4_20250516_132840_ni.txt,153.0,236.0,236.0,0.0487224576271189,0.1222349455389464,0.1156936440677966,0.0672000000000032,0.0905000000000022,-0.206700000000005,0.2111000000000018,nakamura_0516,58.0,70.0,2025-05-16 13:28:45
5月,4,20250516,5_20250516_134407_ni.txt,153.0,258.0,258.0,0.0068538759689922,0.1345287459717395,0.1246019379844963,0.0657500000000013,0.1112000000000001,-0.2066000000000016,0.2181999999999959,nakamura_0516,64.0,80.0,2025-05-16 13:44:14
5月,4,20250516,6_20250516_134941_ni.txt,153.0,267.0,267.0,0.0169277153558052,0.1288150120201318,0.1184535580524344,0.0634999999999976,0.1046000000000049,-0.205099999999998,0.2195000000000107,nakamura_0516,62.0,84.0,2025-05-16 13:49:49
5月,4,20250516,7_20250516_135457_ni.txt,153.0,249.0,249.0,0.0071244979919678,0.1319555310357729,0.120207228915663,0.060699999999997,0.0973000000000041,-0.2062000000000026,0.2077000000000168,nakamura_0516,72.0,90.0,2025-05-16 13:54:58
