month,subject,date,ni_file_count,has_soa_csv,has_soa_xlsx,ni_files,first_ni_file,last_ni_file,total_ni_size_mb,avg_ni_size_mb,soa_csv_path,soa_csv_size_kb,soa_csv_rows,soa_csv_columns,soa_xlsx_path,soa_xlsx_size_kb
6月,6,20250606,8,True,True,1_20250606_130801_ni.txt; 2_20250606_131248_ni.txt; 3_20250606_132032_ni.txt; 4_20250606_132652_ni.txt; 5_20250606_134017_ni.txt; 6_20250606_135224_ni.txt; 7_20250606_140018_ni.txt; 8_20250606_140229_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250606/1_20250606_130801_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250606/8_20250606_140229_ni.txt,1066.72,133.34,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250606/morita_0606_soa.csv,0.33,8.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250606/20250606.xlsx,5.18
6月,6,20250611,10,True,True,1_20250611_130733_ni.txt; 2_20250611_131021_ni.txt; 3_20250611_131815_ni.txt; 4_20250611_132703_ni.txt; 5_20250611_134146_ni.txt; 6_20250611_134925_ni.txt; 7_20250611_135412_ni.txt; 8_20250611_140034_ni.txt; 9_20250611_140329_ni.txt; 10_20250611_140527_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250611/1_20250611_130733_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250611/10_20250611_140527_ni.txt,1382.49,138.25,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250611/morita_0611_soa.csv,0.42,10.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250611/20250611.xlsx,5.26
6月,6,20250613,11,True,True,1_20250613_130820_ni.txt; 2_20250613_131046_ni.txt; 3_20250613_131736_ni.txt; 4_20250613_132151_ni.txt; 5_20250613_132700_ni.txt; 6_20250613_133911_ni.txt; 7_20250613_134603_ni.txt; 8_20250613_135229_ni.txt; 9_20250613_135909_ni.txt; 10_20250613_140104_ni.txt; 11_20250613_140248_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250613/1_20250613_130820_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250613/11_20250613_140248_ni.txt,1485.92,135.08,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250613/morita_0613_soa.csv,0.46,11.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250613/20250613.xlsx,5.24
6月,6,20250618,10,True,True,1_20250618_130217_ni.txt; 2_20250618_130454_ni.txt; 3_20250618_130957_ni.txt; 4_20250618_131514_ni.txt; 5_20250618_132025_ni.txt; 6_20250618_133540_ni.txt; 7_20250618_134135_ni.txt; 8_20250618_134735_ni.txt; 9_20250618_134924_ni.txt; 10_20250618_135135_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250618/1_20250618_130217_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250618/10_20250618_135135_ni.txt,1294.87,129.49,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250618/morita_0618_soa.csv,0.42,10.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250618/20250618.xlsx,5.23
6月,6,20250620,9,True,True,1_20250620_131736_ni.txt; 2_20250620_132034_ni.txt; 3_20250620_132613_ni.txt; 4_20250620_133135_ni.txt; 5_20250620_133650_ni.txt; 6_20250620_134952_ni.txt; 7_20250620_135513_ni.txt; 8_20250620_135704_ni.txt; 9_20250620_135847_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250620/1_20250620_131736_ni.txt,/home/acercyc/Projects/Drum/data/6月/6/NI/20250620/9_20250620_135847_ni.txt,1145.48,127.28,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250620/morita_0620_soa.csv,0.42,10.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/6月/6/SoA/20250620/20250620.xlsx,5.25
7月,7,20250702,5,True,True,1_20250702_105932_ni.txt; 2_20250702_110648_ni.txt; 3_20250702_112135_ni.txt; 4_20250702_112524_ni.txt; 5_20250702_112833_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250702/1_20250702_105932_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250702/5_20250702_112833_ni.txt,748.18,149.64,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250702/nakamura_0702_soa.csv,0.22,5.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250702/20250702.xlsx,5.22
7月,7,20250704,8,True,True,4kaime_20250704_102920_ni.txt; 1kaime_20250704_100557_ni.txt; 3kaime_20250704_101644_ni.txt; 6kaime_20250704_104838_ni.txt; 5kaime_20250704_104228_ni.txt; 2kaime_20250704_101114_ni.txt; 7kaime_20250704_105552_ni.txt; 8kaime_20250704_105823_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250704/4kaime_20250704_102920_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250704/8kaime_20250704_105823_ni.txt,1135.71,141.96,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250704/nakamura_0704_soa.csv,0.34,8.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250704/20250704.xlsx,5.24
7月,7,20250709,11,True,True,1_20250709_101231_ni.txt; 2_20250709_101715_ni.txt; 3_20250709_102355_ni.txt; 4_20250709_103034_ni.txt; 5_20250709_103616_ni.txt; 6_20250709_104758_ni.txt; 7_20250709_105340_ni.txt; 8_20250709_105848_ni.txt; 9_20250709_110414_ni.txt; 10_20250709_110610_ni.txt; 11_20250709_110756_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250709/1_20250709_101231_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250709/11_20250709_110756_ni.txt,1472.37,133.85,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250709/nakamura_0709_soa.csv,0.46,11.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250709/20250709.xlsx,5.32
7月,7,20250711,12,True,True,1_20250711_101037_ni.txt; 2_20250711_101249_ni.txt; 3_20250711_101756_ni.txt; 4_20250711_102257_ni.txt; 5_20250711_102923_ni.txt; 6_20250711_104109_ni.txt; 7_20250711_104558_ni.txt; 8_20250711_105049_ni.txt; 9_20250711_105517_ni.txt; 10_20250711_110003_ni.txt; 11_20250711_110207_ni.txt; 12_20250711_110346_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250711/1_20250711_101037_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250711/12_20250711_110346_ni.txt,1494.2,124.52,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250711/nakamura_0711_soa.csv,0.5,12.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250711/20250711.xlsx,5.36
7月,7,20250716,12,False,False,1_20250716_100745_ni.txt; 2_20250716_100942_ni.txt; 3_20250716_101446_ni.txt; 4_20250716_101949_ni.txt; 5_20250716_102523_ni.txt; 6_20250716_102951_ni.txt; 7_20250716_104142_ni.txt; 8_20250716_104724_ni.txt; 9_20250716_105255_ni.txt; 10_20250716_105724_ni.txt; 11_20250716_105906_ni.txt; 12_20250716_110041_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250716/1_20250716_100745_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250716/12_20250716_110041_ni.txt,1566.79,130.57,,0.0,,,,0.0
